item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,is_active,needs_pricing_review,price_last_updated_at
BNHG12120,Bolt & Nut Hex Galv M12 X 120 each,"",Each,1.6727,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
BCG12120,Bolt & Nut Cup Galv M12 X 120 each,"",Each,1.4364,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
SW50123,Washer Square 50 X 50 X 3 M12,"",Each,0.3727,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
NC63100,Nail Concrete 63mm Box100,"",Each,9.1,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
W12G,Washer M12 Galv,"",Each,0.7364,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
NUT12G,Nut M12 Galv,"",Each,0.3182,Finlaysons Timber & Hardware Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
50TONCRANE,50t Crane,"",hours,275.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
30TONCRANE,30t Crane,"",hours,225.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
25TONCRANE,25t Crane,"",hours,150.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
20TONCRANE,20t Crane,"",hours,160.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
DOGNAMRIGG,Dogman/Rigger,"",hours,90.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
OVERTIME,Overtime,"",hours,35.0,Cross Cranes,"","",true,false,2025-11-04 01:40:10 UTC
TF,Test Fee,"",Each,,,"","",true,true,
WRSI,Wiring of RCD and Stove Isolat,"",Each,,,"","",true,true,
EMWC,"Earthing, Metering, Wiring, Circuit Breakers + isolator","",Each,,,"","",true,true,
EUCNE,Extra Underground Cable no excav,"",lm,,,"","",true,true,
WHW,Wiring of Hot Water System Gas (includes waterproof single p/point),"",Each,,,"","",true,true,
MSP,Meterbox Single Phase (Includes Temp Power Kit),"",Each,676.0,TL Electrical,"","",true,false,2025-11-04 01:40:10 UTC
RB600,Raiser bracket 600 plus POA Box,"",Each,,,"","",true,true,
TPS,Termporary Power to Site,"",Each,,,"","",true,true,
UP,Underground Power 20m (Single Phase),"",Each,720.0,TL Electrical,"","",true,false,2025-11-04 01:40:10 UTC
WWOHP,Wiring of Wall oven and Hot Plate,"",Each,,,"","",true,true,
RISTDHOUSE,Rough In Standard House,"",Each,,,"","",true,true,
PT,Touch Ups,"",Sqm,3.5,PAINTER,"","",true,false,2025-11-04 01:40:10 UTC
PSDA,Seal Decking Area,"",Sqm,20.0,PAINTER,"","",true,false,2025-11-04 01:40:10 UTC
PIB,Painter to Paint Internal Ballustrade,"",lm,40.0,PAINTER,"","",true,false,2025-11-04 01:40:10 UTC
PPS,Painting to Privacy Screens,"",Sqm,50.0,PAINTER,"","",true,false,2025-11-04 01:40:10 UTC
STRINGFLRORRAKE,Extra Charge for string up floor or rake,"",Sqm,1.0,Austral Insulation,"","",true,false,2025-11-04 01:40:10 UTC
