name,contact_person,email,phone,address,rating,response_rate,avg_response_time,notes,is_active
Joii Tiling,"","","","",3,75.0,24,Imported from EasyBuild,true
TILER,"","","","",3,75.0,24,Imported from EasyBuild,true
Carl Strong Tiling,"","","","",3,75.0,24,Imported from EasyBuild,true
Justin Stevens,"","","","",3,75.0,24,Imported from EasyBuild,true
Rapid Stone And Tiles Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
CONCRETE,"","","","",3,75.0,24,Imported from EasyBuild,true
All Weather Trading,"","","","",3,75.0,24,Imported from EasyBuild,true
ENERGY RATING,"","","","",3,75.0,24,Imported from EasyBuild,true
Insulhome,"","","","",3,75.0,24,Imported from EasyBuild,true
ENTRY DOORS,"","","","",3,75.0,24,Imported from EasyBuild,true
CABINET MAKER,"","","","",3,75.0,24,Imported from EasyBuild,true
Flooring Creations QLD,"","","","",3,75.0,24,Imported from EasyBuild,true
Torsion Admin Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
WC HIRE,"","","","",3,75.0,24,Imported from EasyBuild,true
Joii Carpentry,"","","","",3,75.0,24,Imported from EasyBuild,true
CARPENTER,"","","","",3,75.0,24,Imported from EasyBuild,true
Braiden Brothers Carpentry,"","","","",3,75.0,24,Imported from EasyBuild,true
Robs Carpentry,"","","","",3,75.0,24,Imported from EasyBuild,true
Sams carpentry SEQ,"","","","",3,75.0,24,Imported from EasyBuild,true
SURVEYOR,"","","","",3,75.0,24,Imported from EasyBuild,true
Icon Skip Bins,"","","","",3,75.0,24,Imported from EasyBuild,true
Trusses & Pre Nail,"","","","",3,75.0,24,Imported from EasyBuild,true
The Truss Company,"","","","",3,75.0,24,Imported from EasyBuild,true
Survey 360 Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
STEEL MESH,"","","","",3,75.0,24,Imported from EasyBuild,true
GARAGE DOORS,"","","","",3,75.0,24,Imported from EasyBuild,true
Mesh And Bar,"","","","",3,75.0,24,Imported from EasyBuild,true
Building and Construction Supplies PTY Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
BSK and associates,"","","","",3,75.0,24,Imported from EasyBuild,true
BRICKS,"","","","",3,75.0,24,Imported from EasyBuild,true
PLUMBING FITOFF GEAR,"","","","",3,75.0,24,Imported from EasyBuild,true
Envy Plumbing,"","","","",3,75.0,24,Imported from EasyBuild,true
PAL Plumbing,"","","","",3,75.0,24,Imported from EasyBuild,true
CRANE,"","","","",3,75.0,24,Imported from EasyBuild,true
